term_with_n,model,correlation,p_value,sig_level,mae,rmse,n_obs,data_pct,abs_correlation
deepseekchat (FR→FR),deepseekchat_fr_fr,0.7074871917297193,1.1296181616929481e-31,p < 0.001,0.23641666666666666,0.31523580239419363,200,100,0.7074871917297193
deepseekchat (EN→FR),deepseekchat_en_fr,0.7040412749486752,2.962737970353062e-31,p < 0.001,0.23775,0.3220615020630549,200,100,0.7040412749486752
deepseekchat (EN→EN),deepseekchat_en_en,0.6744387264537637,6.843047262690335e-28,p < 0.001,0.24475,0.3309351228799318,200,100,0.6744387264537637
gpt4o (FR→FR),gpt4o_fr_fr,0.6711342374079482,1.5367702935604896e-27,p < 0.001,0.18941666666666668,0.29706200250677184,200,100,0.6711342374079482
claude35 (EN→EN),claude35_en_en,0.6676675905901724,3.551204607358789e-27,p < 0.001,0.19558333333333333,0.30144328746143206,200,100,0.6676675905901724
gpt4o (EN→EN),gpt4o_en_en,0.6601114987667311,2.1211571825272418e-26,p < 0.001,0.20025,0.30387543134938994,200,100,0.6601114987667311
claude35 (EN→FR),claude35_en_fr,0.6574116906539952,3.9673858403107144e-26,p < 0.001,0.21291666666666667,0.30879020206102537,200,100,0.6574116906539952
gpt4o (EN→FR),gpt4o_en_fr,0.6573556394201178,4.0190229642604286e-26,p < 0.001,0.19441666666666665,0.3019680814626311,200,100,0.6573556394201178
gemini20 (EN→FR),gemini20_en_fr,0.6539452986606179,8.781761680556805e-26,p < 0.001,0.19958333333333333,0.30951799445087014,200,100,0.6539452986606179
llama3370b (FR→FR),llama3370b_fr_fr,0.6528612759701494,1.123490621798938e-25,p < 0.001,0.21308333333333332,0.3173873378416698,200,100,0.6528612759701494
claude35 (FR→FR),claude35_fr_fr,0.6507851974362772,1.7957740342557023e-25,p < 0.001,0.22375,0.3167039451741782,200,100,0.6507851974362772
gemini20 (FR→FR),gemini20_fr_fr,0.6396372402338687,2.0956732916903538e-24,p < 0.001,0.20725,0.3167828734147238,200,100,0.6396372402338687
llama3370b (EN→FR),llama3370b_en_fr,0.6168536415762058,2.34917763501752e-22,p < 0.001,0.22741666666666666,0.3396260198119887,200,100,0.6168536415762058
gemma29b (FR→FR),gemma29b_fr_fr,0.6119675022014581,6.151622758971999e-22,p < 0.001,0.25575,0.36111901700747423,200,100,0.6119675022014581
gemma29b (EN→FR),gemma29b_en_fr,0.6014541103645537,4.617383569822436e-21,p < 0.001,0.24825,0.3616801072771352,200,100,0.6014541103645537
mistral (EN→FR),mistral_en_fr,0.5911665772069786,3.0927033735904174e-20,p < 0.001,0.274,0.34691897869355287,200,100,0.5911665772069786
mistral (EN→EN),mistral_en_en,0.580996792808487,1.898488368088234e-19,p < 0.001,0.25966666666666666,0.33634885989929497,200,100,0.580996792808487
llama3370b (EN→EN),llama3370b_en_en,0.5584531177292771,8.526899298769843e-18,p < 0.001,0.23841666666666667,0.36282265334151587,200,100,0.5584531177292771
gemma29b (EN→EN),gemma29b_en_en,0.5554209622896968,1.3918528199949853e-17,p < 0.001,0.2509166666666667,0.3753091318425978,200,100,0.5554209622896968
Dictionary (en),lsd_en,0.5307078010585484,6.310406279166728e-16,p < 0.001,0.23839044910590215,0.3425480549382972,200,100,0.5307078010585484
mistral (FR→FR),mistral_fr_fr,0.5284420037786293,8.815548476564521e-16,p < 0.001,0.29383333333333334,0.3673440712284148,200,100,0.5284420037786293
llama323b (FR→FR),llama323b_fr_fr,0.5143143993913517,6.707244257143154e-15,p < 0.001,0.29275,0.3656444083167871,200,100,0.5143143993913517
llama323b (EN→EN),llama323b_en_en,0.4679589214702635,2.8097615728593846e-12,p < 0.001,0.28591666666666665,0.39742399692687574,200,100,0.4679589214702635
gemini20 (EN→EN),gemini20_en_en,0.43118097539095307,1.8431308675701113e-10,p < 0.001,0.24291666666666667,0.3570033457670794,200,100,0.43118097539095307
Dictionary (fr),lsd_fr,0.3050221512183777,1.124471813777641e-5,p < 0.001,0.2529644571702641,0.3565305155395029,200,100,0.3050221512183777
llama323b (EN→FR),llama323b_en_fr,0.28820140035538777,3.497567643790422e-5,p < 0.001,0.36991666666666667,0.47467093865118815,200,100,0.28820140035538777
llama321b (FR→FR),llama321b_fr_fr,-0.1440613964065511,0.041831334268611894,p < 0.05,0.43035833333333334,0.5454076584435618,200,100,0.1440613964065511
llama321b (EN→FR),llama321b_en_fr,0.1191233004047924,0.09294059052692528,Not significant,0.3650833333333333,0.44933438427176803,200,100,0.1191233004047924
deepseekr1 (FR→FR),deepseekr1_fr_fr,-0.09391085944137292,0.18817861734996216,Not significant,0.607912457912458,0.7741745540765167,198,99,0.09391085944137292
deepseekr1 (EN→FR),deepseekr1_en_fr,-0.09367623076603616,0.1870416760837102,Not significant,0.5489166666666667,0.7319314251424863,200,100,0.09367623076603616
qwq32b (EN→EN),qwq32b_en_en,-0.08649297668950441,0.22565399126708618,Not significant,0.7648148148148148,0.8797366583832089,198,99,0.08649297668950441
llama321b (EN→EN),llama321b_en_en,0.08092395025492338,0.25464752100375276,Not significant,0.3467,0.4426285124119322,200,100,0.08092395025492338
doc_id,doc_id,-0.0645162304582562,0.3640767366863672,Not significant,1386.1657500000001,1591.388387277757,200,100,0.0645162304582562
qwq32b (FR→FR),qwq32b_fr_fr,-0.010297118519929418,0.8852260864799312,Not significant,0.8563651591289783,0.9464567028346261,199,99.5,0.010297118519929418
deepseekr1 (EN→EN),deepseekr1_en_en,0.008105173430715512,0.9093108345415939,Not significant,0.9,0.9867891252835014,200,100,0.008105173430715512
qwq32b (EN→FR),qwq32b_en_fr,-0.002700728024564458,0.9698004861609854,Not significant,0.7714405360134003,0.8783240283787475,199,99.5,0.002700728024564458
