"doc_id","sentence","manual_score"
7,"Joujoux, hiboux...",0
14,"Le plus utilisé, pour ma part, est Firefox et son compagnon Thunderbird.",0
21,"«Google a proposé de nous aider», explique Yann Forget, porte-parole de la fondation Wikimedia pour la France.",0.5
71,"Engagé sous la bannière de Windows en 1988, il dirige la filiale française depuis 2001.",0.1
84,"Cela représente près de dix mois du salaire moyen d'un fonctionnaire.",0
90,"Dernier conseil du milliardaire aux apprentis patrons : «Ne pas travailler pour l'argent, mais pour ce à quoi vous croyez, pour lequel vous aimez travailler et qui stimule vos talents.»",0.75
94,"Pire, la compagnie a même annoncé qu'elle ne travaillerait plus sur IE pour se concentrer sur son successeur, qui sera intégré à Longhorn, la prochaine version de Windows, dont la sortie est maintenant prévue pour 2006 après avoir été reportée à plusieurs reprises.",-0.3
118,"Ce n'est pas souvent qu'on entend des choses pareilles.",0
133,"Rumeurs démenties par l'éditeur américain, bien sûr, mais sans pour autant rassurer.",-0.3
133,"Ce type d'inquiétude, ajouté à la volonté des Etats de limiter l'hégémonie de Microsoft, a ouvert la voie aux logicielslibres dans l'administration.",0.2
162,"En moyenne, les logiciels ne représentent en effet que 3 % à 5 % du coût global informatique, rarement plus de 10 %.",0.25
182,"«Il ne faut surtout pas brimer la créativité des participants à un Wiki.» En respectant ces conditions, il s'en suit normalement un processus d'appropriation du Wiki par le groupe qui résulte en des résultats positifs.",0.85
186,": Le jeu a le potentiel d'être au XXIe siècle ce que le cinéma était au XXe siècle, un mass media avec une portée immense.",0.5
201,"M.",0
214,"Cela vaut autant pour les acteurs commerciaux que pour un organisme comme la société GRICS, propriété des commissions scolaires, qui développe pour elles des logiciels tournant sous Windows.",0.15
229,"Je me souviens qu'au tout début, il fallait justifier ce qu'on était censé faire avec ces nouveaux outils.",0
243,"« Toute mention des logicielslibres n'a finalement été possible qu'en mettant ces outils sur un pied d'égalité totale avec les logiciels propriétaires, raconte la responsable d'une association française associée aux discussions préparatoires.",0.65
245,"Mais depuis peu, il est enfin possible de se brancher directement sur le réseau Fastrack à partir d'un Mac, gracieuseté de quelques logiciels utilisant des protocoles à codesourcelibre comme mlMac et surtout, Poisoned.",0.5
255,"L'interprète labellisé Babels est solidaire mais pas archéo.",0.2
258,"Il n'y a qu'à lire les diverses entrevues qui concernent Linus Torvalds, le père putatif du système d'exploitation Linux, pour se rendre compte du contraire.",0
263,"Pingouin, Linux, le système d'exploitation à codesourcelibre et ouvert, un progiciel qui n'a jamais été reconnu pour sa convivialité dans de telles applications.",-0.2
286,"C'est un mouvement que certains appellent citoyen même si je n'aime pas beaucoup l'expression , qui n'a pas vocation à devenir un parti politique et à se présenter aux élections.",-0.3
292,"La confirmation viendra toutefois lors de la remise du rapport du comité consultatif.",0
295,"Or, l'Office européen des brevets a débordé la conception initiale et a octroyé une trentaine de milliers de brevets concernant les logiciels, ce qui pose problème.",-0.6
309,"Le tiers-monde est l'usine, les pays développés sont les réservoirs d'idées pensées.",-0.1
322,"Au contraire, l'atmosphère est des plus studieuse, la participation absolument requise («sans oeuvre libre, pas d'entrée libre»).",0.5
337,"Bref, des produits neufs, mais surtout, des ordinateurs recyclés.",0.4
