doc_id,date,source_media,sentences,sentences_en,lsd_fr,lsd_fr_bin,lsd_en,lsd_en_bin,manual,manual_bin,llama323b_en_fr_run1,llama323b_en_fr_run2,llama323b_en_fr_run3,llama323b_en_fr_mean,llama323b_fr_fr_run1,llama323b_fr_fr_run2,llama323b_fr_fr_run3,llama323b_fr_fr_mean,llama323b_en_en_run1,llama323b_en_en_run2,llama323b_en_en_run3,llama323b_en_en_mean,qwq32b_en_fr_run1,qwq32b_en_fr_run2,qwq32b_en_fr_run3,qwq32b_en_fr_mean,qwq32b_fr_fr_run1,qwq32b_fr_fr_run2,qwq32b_fr_fr_run3,qwq32b_fr_fr_mean,qwq32b_en_en_run1,qwq32b_en_en_run2,qwq32b_en_en_run3,qwq32b_en_en_mean,deepseekr1_en_fr_run1,deepseekr1_en_fr_run2,deepseekr1_en_fr_run3,deepseekr1_en_fr_mean,deepseekr1_fr_fr_run1,deepseekr1_fr_fr_run2,deepseekr1_fr_fr_run3,deepseekr1_fr_fr_mean,deepseekr1_en_en_run1,deepseekr1_en_en_run2,deepseekr1_en_en_run3,deepseekr1_en_en_mean,llama3370b_en_fr_run1,llama3370b_en_fr_run2,llama3370b_en_fr_run3,llama3370b_en_fr_mean,llama3370b_fr_fr_run1,llama3370b_fr_fr_run2,llama3370b_fr_fr_run3,llama3370b_fr_fr_mean,llama3370b_en_en_run1,llama3370b_en_en_run2,llama3370b_en_en_run3,llama3370b_en_en_mean,gemma29b_en_fr_run1,gemma29b_en_fr_run2,gemma29b_en_fr_run3,gemma29b_en_fr_mean,gemma29b_fr_fr_run1,gemma29b_fr_fr_run2,gemma29b_fr_fr_run3,gemma29b_fr_fr_mean,gemma29b_en_en_run1,gemma29b_en_en_run2,gemma29b_en_en_run3,gemma29b_en_en_mean,llama321b_en_fr_run1,llama321b_en_fr_run2,llama321b_en_fr_run3,llama321b_en_fr_mean,llama321b_fr_fr_run1,llama321b_fr_fr_run2,llama321b_fr_fr_run3,llama321b_fr_fr_mean,llama321b_en_en_run1,llama321b_en_en_run2,llama321b_en_en_run3,llama321b_en_en_mean,mistral_en_fr_run1,mistral_en_fr_run2,mistral_en_fr_run3,mistral_en_fr_mean,mistral_fr_fr_run1,mistral_fr_fr_run2,mistral_fr_fr_run3,mistral_fr_fr_mean,mistral_en_en_run1,mistral_en_en_run2,mistral_en_en_run3,mistral_en_en_mean,deepseekr1distillllama_en_fr_run1,deepseekr1distillllama_en_fr_run2,deepseekr1distillllama_en_fr_run3,deepseekr1distillllama_en_fr_mean,deepseekr1distillllama_fr_fr_run1,deepseekr1distillllama_fr_fr_run2,deepseekr1distillllama_fr_fr_run3,deepseekr1distillllama_fr_fr_mean,deepseekr1distillllama_en_en_run1,deepseekr1distillllama_en_en_run2,deepseekr1distillllama_en_en_run3,deepseekr1distillllama_en_en_mean,claude35_en_fr_run1,claude35_en_fr_run2,claude35_en_fr_run3,claude35_en_fr_mean,claude35_fr_fr_run1,claude35_fr_fr_run2,claude35_fr_fr_run3,claude35_fr_fr_mean,claude35_en_en_run1,claude35_en_en_run2,claude35_en_en_run3,claude35_en_en_mean,gemini20_en_fr_run1,gemini20_en_fr_run2,gemini20_en_fr_run3,gemini20_en_fr_mean,gemini20_fr_fr_run1,gemini20_fr_fr_run2,gemini20_fr_fr_run3,gemini20_fr_fr_mean,gemini20_en_en_run1,gemini20_en_en_run2,gemini20_en_en_run3,gemini20_en_en_mean,deepseekchat_en_fr_run1,deepseekchat_en_fr_run2,deepseekchat_en_fr_run3,deepseekchat_en_fr_mean,deepseekchat_fr_fr_run1,deepseekchat_fr_fr_run2,deepseekchat_fr_fr_run3,deepseekchat_fr_fr_mean,deepseekchat_en_en_run1,deepseekchat_en_en_run2,deepseekchat_en_en_run3,deepseekchat_en_en_mean,gpt4o_en_fr_run1,gpt4o_en_fr_run2,gpt4o_en_fr_run3,gpt4o_en_fr_mean,gpt4o_fr_fr_run1,gpt4o_fr_fr_run2,gpt4o_fr_fr_run3,gpt4o_fr_fr_mean,gpt4o_en_en_run1,gpt4o_en_en_run2,gpt4o_en_en_run3,gpt4o_en_en_mean
7,2005-05-02,"Devoir, Le","Joujoux, hiboux...","Joujoux, owls ...",0,neutral,0,neutral,0,neutral,0,0.5,0,0.16666666666666666,0,0.5,0,0.16666666666666666,-0.5,0.5,0,0,1,1,0,0.6666666666666666,0.3,1,0.5,0.6,1,1,0,0.6666666666666666,0,0,0.5,0.16666666666666666,0,0,0.3,0.09999999999999999,NA,1,NA,1,0.5,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.5,0.5333333333333333,-0.9,-0.3,0,-0.4,-0.2,-0.2,-0.7,-0.36666666666666664,0,0.5,0.5,0.3333333333333333,0,0.3,0,0.09999999999999999,-0.5,0,-0.3,-0.26666666666666666,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3,0,0.09999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0
14,2005-04-11,"Devoir, Le","Le plus utilisé, pour ma part, est Firefox et son compagnon Thunderbird.","The most used, for my part, is Firefox and his companion Thunderbird.",0.08333333333333333,positive,0.06666666666666667,positive,0,neutral,0.5,0.5,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0,0.5,0.3333333333333333,1,1,1,1,1,0,1,0.6666666666666666,0.5,0,1,0.5,0,0,0,0,0.3,0,0,0.09999999999999999,1,NA,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.5,0.36666666666666664,0.5,0.5,0.5,0.5,0,-0.7,-0.3,-0.3333333333333333,0.5,0.2,0.5,0.4,0.8,0.8,0,0.5333333333333333,0.5,-0.5,0.8,0.26666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.3,0,0.09999999999999999,0,0,0.5,0.16666666666666666,0,0,0,0
21,2005-03-19,Libération,"«Google a proposé de nous aider», explique Yann Forget, porte-parole de la fondation Wikimedia pour la France.","""Google has offered to help us,"" said Yann Forget, spokesperson for the Wikimedia Foundation for France.",0.058823529411764705,positive,0.05,positive,0.5,positive,0.5,0.5,1,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.8333333333333334,1,1,1,1,0,0.5,0,0.16666666666666666,0,0,0,0,0,1,0,0.3333333333333333,NA,NA,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.43333333333333335,0.5,0.5,0.5,0.5,-0.6,0.8,0,0.0666666666666667,0.7,-0.5,-0.7,-0.16666666666666666,0,-0.3,-0.5,-0.26666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.3333333333333333,0.5,0.5,0.5,0.5
71,2004-12-20,"Figaro, Le","Engagé sous la bannière de Windows en 1988, il dirige la filiale française depuis 2001.","Engaged under the banner of Windows in 1988, he has managed the French subsidiary since 2001.",-0.06666666666666667,negative,0,neutral,0.1,positive,0.5,0,0,0.16666666666666666,0.5,0,0,0.16666666666666666,0,0.5,0,0.16666666666666666,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,1,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.2,-0.8,-0.8,-0.8,-0.8,-0.7,0.8,0.4,0.1666666666666667,0,0.5,0,0.16666666666666666,0,0.5,0.5,0.3333333333333333,0,-0.5,0,-0.16666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2004-11-27,"Devoir, Le",Cela représente près de dix mois du salaire moyen d'un fonctionnaire.,This represents almost ten months of the average salary of an official.,0,neutral,0,neutral,0,neutral,-1,-1,-0.7,-0.9,-0.5,-0.5,-0.5,-0.5,0.5,0,0.5,0.3333333333333333,0,0,1,0.3333333333333333,1,1,1,1,1,1,1,1,0,1,0,0.3333333333333333,0,1,0.5,0.5,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,0,0,-0.5,0,-0.8,-0.43333333333333335,-0.7,0.05,-0.8,-0.48333333333333334,0.5,0,0,0.16666666666666666,0,-0.3,-1,-0.43333333333333335,0.3,1,0.5,0.6,0.3,-0.5,-0.7,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.2,0,-0.06666666666666667,-0.5,-0.5,-0.5,-0.5,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,-0.16666666666666666,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.7,-0.7,-0.5,-0.6333333333333333,-0.5,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0
90,2004-11-18,Libération,"Dernier conseil du milliardaire aux apprentis patrons : «Ne pas travailler pour l'argent, mais pour ce à quoi vous croyez, pour lequel vous aimez travailler et qui stimule vos talents.»","Last advice from the billionaire to apprentice patterns: ""Do not work for money, but for what you believe, for which you like to work and which stimulates your talents.""",0.06666666666666667,positive,0.08571428571428572,positive,0.75,positive,0.8,1,1,0.9333333333333333,0.5,0.3,0.5,0.43333333333333335,0.8,0.8,0.5,0.7000000000000001,1,1,1,1,1,1,1,1,0.5,1,1,0.8333333333333334,1,1,1,1,0.7,0.5,1,0.7333333333333333,NA,1,NA,1,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.7000000000000001,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7333333333333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0.9,-0.7,0.13333333333333336,0,0.8,-0.5,0.10000000000000002,-0.2,-0.9,-0.5,-0.5333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.6,0.7,-0.5,0.8,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.6333333333333333,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
94,2004-11-13,"Nouvelliste, Le (Trois-Rivières, QC)","Pire, la compagnie a même annoncé qu'elle ne travaillerait plus sur IE pour se concentrer sur son successeur, qui sera intégré à Longhorn, la prochaine version de Windows, dont la sortie est maintenant prévue pour 2006 après avoir été reportée à plusieurs reprises.","Worse, the company even announced that it would no longer work on IE to focus on its successor, which will be integrated in Longhorn, the next version of Windows, whose release is now scheduled for 2006 after being postponed several times.",0,neutral,-0.021739130434782608,negative,-0.3,negative,-1,-1,-1,-1,-0.7,-0.5,-0.8,-0.6666666666666666,-0.5,-0.8,-0.5,-0.6,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,1,NA,1,NA,1,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.7,-0.7,-0.6333333333333333,-0.5,-0.5,-0.5,-0.5,0.3,-0.2,-0.2,-0.03333333333333335,0,-1,-0.8,-0.6,-0.5,0.4,-0.5,-0.19999999999999998,-0.5,-0.7,-0.7,-0.6333333333333333,-0.5,-0.5,-0.7,-0.5666666666666667,-0.5,-0.7,-0.5,-0.5666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.5,-0.6333333333333333,-0.5,-0.3,-0.5,-0.43333333333333335,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.7,-0.5,-0.5666666666666667
118,2004-10-05,"Figaro, Le",Ce n'est pas souvent qu'on entend des choses pareilles.,It is not often that we hear such things.,0,neutral,0,neutral,0,neutral,0,0,0,0,0.5,0.5,0,0.3333333333333333,-0.8,0,0.5,-0.10000000000000002,1,0,1,0.6666666666666666,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0.6666666666666666,NA,1,1,1,-0.5,0,0,-0.16666666666666666,0,0,0,0,0,0,0,0,0,0.3,0.3,0.19999999999999998,0.3,0.3,0.3,0.3,-0.5,0,0.3,-0.06666666666666667,-0.6,0,-0.8,-0.4666666666666667,0,0,0.2,0.06666666666666667,-0.5,0,0,-0.16666666666666666,-0.5,0.5,0.5,0.16666666666666666,-0.7,0.5,-0.5,-0.2333333333333333,-0.5,-0.2,0.5,-0.06666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,0,0,-0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-0.3,-0.5,-0.36666666666666664,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0,0,0,0,-0.5,0,0,-0.16666666666666666,0,0,0,0
133,2004-09-21,Libération,"Rumeurs démenties par l'éditeur américain, bien sûr, mais sans pour autant rassurer.","Rumors denied by the American publisher, of course, but without reassuring.",0,neutral,-0.13333333333333333,negative,-0.3,negative,-0.5,-0.5,-0.3,-0.43333333333333335,-0.5,-0.7,-0.7,-0.6333333333333333,-0.7,-0.5,-0.5,-0.5666666666666667,0.5,0.5,1,0.6666666666666666,1,1,1,1,0.5,1,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,1,1,0.5,0.8333333333333334,NA,1,1,1,-0.3,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.3,-0.3,-0.3,-0.3,-0.5,-0.5,-0.3,-0.43333333333333335,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,-0.8,0.5,-0.10000000000000002,-0.3,0.3,0.3,0.09999999999999999,-0.2,0,0,-0.06666666666666667,-0.5,0.2,0,-0.09999999999999999,-0.5,-0.5,-0.5,-0.5,-0.7,-0.5,-0.5,-0.5666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3333333333333333,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
133,2004-09-21,Libération,"Ce type d'inquiétude, ajouté à la volonté des Etats de limiter l'hégémonie de Microsoft, a ouvert la voie aux logicielslibres dans l'administration.","This type of concern, added to the will of the States to limit the hegemony of Microsoft, has paved the way for software for administration.",0.045454545454545456,positive,-0.07142857142857142,negative,0.2,positive,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,1,0,0.4,1,1,0.3,0.7666666666666666,1,0,0.5,0.5,0,0,0.5,0.16666666666666666,1,0.5,0.5,0.6666666666666666,NA,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.43333333333333335,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,-0.7,0.9,0.13333333333333336,-0.75,0.5,-0.3,-0.18333333333333332,0.1,0,-0.8,-0.23333333333333334,0.3,0.5,-0.5,0.09999999999999999,0.5,0.5,-0.5,0.16666666666666666,-0.5,-0.3,-0.3,-0.36666666666666664,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,-0.1,-0.3,-0.3,-0.23333333333333334,-0.1,0.1,0,0,-0.5,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.26666666666666666,-0.5,-0.5,-0.3,-0.43333333333333335,-0.5,-0.5,-0.5,-0.5,0,0,0,0,0,-0.5,0,-0.16666666666666666
